lemme know when you were born,115,0.139,26,0.059,32,0.056,11,0.054,30,0.036,3,0.036,9,0.022,69,0.02,97,0.018,90,0.018
can you share my credit score with me,32,0.178,11,0.148,47,0.137,9,0.067,69,0.029,3,0.027,130,0.025,90,0.019,50,0.016,114,0.016
skip this song and play the next one,121,0.149,87,0.076,37,0.073,50,0.069,27,0.044,71,0.033,1,0.032,29,0.03,147,0.029,40,0.025
how many items are on my todo list,126,0.435,18,0.115,50,0.055,1,0.026,16,0.02,86,0.016,9,0.016,147,0.015,79,0.014,39,0.013
it takes how long to get to mcdonald's in pomona,148,0.151,41,0.092,58,0.082,82,0.053,75,0.039,121,0.039,112,0.034,6,0.03,18,0.029,2,0.027
whats euros kroner in 25,117,0.218,81,0.088,144,0.068,39,0.029,49,0.024,19,0.022,9,0.022,70,0.019,50,0.017,75,0.016
ai stop talking,107,0.144,147,0.084,91,0.066,87,0.038,71,0.035,1,0.034,50,0.029,58,0.025,11,0.024,97,0.022
give me the meaning of alternative,107,0.115,11,0.07,9,0.067,32,0.066,70,0.043,39,0.028,69,0.023,55,0.019,97,0.019,90,0.016
tell me what's on my todo list,126,0.311,11,0.079,9,0.057,18,0.044,32,0.04,50,0.034,58,0.023,142,0.022,16,0.022,1,0.016
does american express charge transaction fees for iceland,8,0.102,75,0.042,32,0.033,90,0.031,9,0.027,1,0.024,11,0.024,128,0.023,39,0.022,50,0.022
please let me into my bank account,11,0.125,32,0.084,128,0.051,8,0.031,3,0.031,114,0.029,50,0.024,121,0.024,130,0.021,57,0.019
ai can you help me find my phone,11,0.1,9,0.093,32,0.071,63,0.057,68,0.035,128,0.034,130,0.032,75,0.024,3,0.022,26,0.021
i would like to apply for a bank of america travel rewards credit card,41,0.148,128,0.147,11,0.112,32,0.11,4,0.037,130,0.026,90,0.02,9,0.018,13,0.016,42,0.015
what is the company that made you,73,0.166,127,0.099,11,0.056,49,0.042,32,0.035,9,0.028,55,0.028,39,0.027,50,0.021,16,0.017
can you assist me on my fradulent activity on my chase card,8,0.121,11,0.086,32,0.08,4,0.05,128,0.033,13,0.026,18,0.021,41,0.021,50,0.021,69,0.02
will you summarize my health benefits,32,0.15,11,0.139,9,0.054,69,0.034,3,0.03,34,0.024,4,0.022,128,0.022,105,0.02,114,0.019
let's change your accent,53,0.417,11,0.087,107,0.081,27,0.022,69,0.022,32,0.017,135,0.017,114,0.015,61,0.013,97,0.012
what is a good beef recipe,112,0.169,66,0.094,11,0.069,32,0.049,9,0.041,55,0.033,39,0.026,50,0.019,114,0.018,23,0.018
cash in my credit card points,4,0.294,8,0.077,13,0.057,11,0.052,39,0.035,135,0.034,114,0.026,57,0.021,130,0.021,41,0.019
you can call me brandon,3,0.169,107,0.091,106,0.087,136,0.082,53,0.039,51,0.038,130,0.026,11,0.024,144,0.019,39,0.018
when will i receive my w2,50,0.104,32,0.098,58,0.087,115,0.06,11,0.055,128,0.047,1,0.043,9,0.025,121,0.025,6,0.024
i would like to request that more checkbooks be mailed to me,11,0.111,1,0.072,50,0.066,32,0.057,121,0.043,20,0.023,9,0.023,114,0.023,8,0.021,130,0.019
can you tell me when my credit card application will be processed,128,0.181,32,0.165,11,0.111,9,0.087,50,0.074,3,0.029,115,0.026,1,0.022,58,0.02,8,0.014
give me your name so i can use you,74,0.261,11,0.135,106,0.044,39,0.03,9,0.03,32,0.026,144,0.023,135,0.021,3,0.018,97,0.016
how much is my credit score,47,0.446,81,0.034,9,0.032,114,0.027,11,0.024,50,0.017,32,0.016,39,0.015,12,0.014,90,0.014
check how much pto i have left,58,0.146,114,0.052,50,0.03,39,0.029,97,0.025,148,0.024,44,0.021,12,0.02,19,0.02,16,0.018
i will need an uber for 2 people to get to philadelphia,41,0.116,116,0.094,121,0.04,50,0.039,26,0.038,2,0.035,11,0.034,1,0.032,75,0.031,18,0.027
what southwest flights are there for lax to sfo arriving april 1st and returning april 7th,115,0.087,98,0.073,121,0.072,41,0.07,109,0.057,120,0.036,9,0.033,78,0.031,24,0.026,2,0.026
slow your roll,58,0.086,132,0.062,95,0.05,77,0.045,69,0.044,23,0.036,16,0.031,112,0.028,1,0.022,66,0.022
what kind of meetings do i have today,25,0.245,18,0.059,78,0.051,32,0.049,24,0.038,9,0.035,50,0.025,11,0.02,39,0.018,97,0.017
i lost my phone can you help me,11,0.216,9,0.186,63,0.153,32,0.068,68,0.034,130,0.02,3,0.014,90,0.012,50,0.012,75,0.012
what's my limit on my amex card,12,0.181,32,0.066,114,0.061,11,0.051,23,0.044,13,0.043,8,0.038,9,0.034,16,0.029,57,0.023
read me my shopping list please,140,0.162,104,0.095,11,0.094,142,0.039,32,0.036,50,0.035,1,0.029,68,0.026,9,0.019,39,0.016
how do i redeem my credit card points,4,0.305,11,0.104,32,0.054,9,0.049,129,0.042,13,0.037,114,0.02,39,0.017,57,0.016,130,0.013
i want to cash out my credit card points,4,0.239,8,0.095,11,0.089,13,0.064,39,0.032,60,0.03,130,0.028,114,0.026,135,0.019,41,0.018
does this car take regular or diesel fuel,32,0.121,11,0.071,94,0.047,39,0.046,50,0.036,9,0.033,55,0.032,130,0.028,99,0.024,3,0.02
could you check if my order has been delivered, please,100,0.164,50,0.119,11,0.113,32,0.076,1,0.074,9,0.054,130,0.016,3,0.014,39,0.014,115,0.012
do i spend too much on beer,50,0.064,32,0.052,147,0.051,57,0.041,90,0.039,114,0.036,9,0.033,138,0.032,85,0.031,11,0.028
suggest a good mexican meal to me,82,0.3,112,0.19,11,0.053,50,0.035,3,0.027,1,0.027,130,0.019,90,0.016,32,0.014,113,0.012
you’re the best thanks so much!,43,0.144,116,0.052,118,0.044,11,0.044,68,0.026,130,0.023,50,0.023,94,0.018,39,0.016,58,0.015
let's add wonder by hillsong united to my playlist,29,0.105,137,0.076,133,0.062,11,0.059,32,0.052,37,0.035,130,0.033,20,0.028,50,0.021,69,0.019
let me know what is on my reminder list,11,0.177,32,0.077,61,0.055,16,0.042,58,0.032,9,0.027,50,0.025,142,0.024,39,0.019,126,0.016
can you identify between poisonous and nonpoisonous mushroom,32,0.114,11,0.103,50,0.074,55,0.066,9,0.054,114,0.037,23,0.032,39,0.029,3,0.025,97,0.023
can you show me my shopping list,140,0.178,11,0.145,32,0.071,9,0.069,3,0.03,50,0.028,130,0.027,104,0.022,142,0.017,26,0.017
i want you to turn the tv on,11,0.159,129,0.081,9,0.066,16,0.065,32,0.048,39,0.041,130,0.038,3,0.028,50,0.027,1,0.02
what are the weather conditions in seattle,31,0.334,75,0.06,32,0.059,9,0.033,11,0.031,2,0.029,50,0.024,39,0.022,132,0.02,55,0.013
for this car, what kind of gas should i use,99,0.195,38,0.127,11,0.078,9,0.072,94,0.064,32,0.05,41,0.033,39,0.024,1,0.018,50,0.018
what does anachronistic mean,55,0.057,107,0.051,9,0.044,39,0.043,115,0.043,69,0.033,97,0.031,70,0.024,50,0.02,147,0.02
at what time is laundry on my to do list,126,0.157,50,0.07,18,0.065,58,0.059,9,0.052,32,0.047,11,0.038,16,0.037,1,0.025,147,0.022
how many dollars is 20 yen worth,117,0.296,81,0.146,19,0.036,9,0.031,11,0.022,147,0.021,49,0.02,39,0.019,55,0.018,20,0.017
how do they say yes in brazil,130,0.05,97,0.042,75,0.038,9,0.035,90,0.033,39,0.03,69,0.03,3,0.026,107,0.025,32,0.023
when should my tires be changed next,103,0.128,125,0.126,50,0.101,32,0.067,1,0.067,11,0.055,100,0.028,3,0.021,9,0.021,58,0.019
i'd like to know how much you get when you roll a ten sided dice,11,0.253,9,0.125,35,0.122,32,0.058,39,0.019,55,0.015,90,0.015,4,0.015,49,0.013,130,0.011
cancel my reservations for joe's at zepher right now,52,0.179,87,0.111,113,0.091,50,0.049,112,0.045,147,0.044,82,0.043,1,0.024,71,0.023,41,0.022
